994
1988
pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794) & pt=0, lineID=308, koords=(0.119,95.031) <-> pt=1, lineID=308, koords=(2.628,90.2407)
pt=0, lineID=267, koords=(0.278,7.828) <-> pt=1, lineID=267, koords=(5.8315,12.1408) & pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794)
pt=0, lineID=366, koords=(0.378,31.382) <-> pt=1, lineID=366, koords=(4.981,34.374) & pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794)
pt=0, lineID=366, koords=(0.378,31.382) <-> pt=1, lineID=366, koords=(4.981,34.374) & pt=0, lineID=267, koords=(0.278,7.828) <-> pt=1, lineID=267, koords=(5.8315,12.1408)
pt=0, lineID=677, koords=(0.392,99.066) <-> pt=1, lineID=677, koords=(6.4296,97.1225) & pt=0, lineID=308, koords=(0.119,95.031) <-> pt=1, lineID=308, koords=(2.628,90.2407)
pt=0, lineID=510, koords=(0.545,88.407) <-> pt=1, lineID=510, koords=(8.4786,88.539) & pt=0, lineID=308, koords=(0.119,95.031) <-> pt=1, lineID=308, koords=(2.628,90.2407)
pt=0, lineID=510, koords=(0.545,88.407) <-> pt=1, lineID=510, koords=(8.4786,88.539) & pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794)
pt=0, lineID=633, koords=(0.691,96.594) <-> pt=1, lineID=633, koords=(4.0893,96.611) & pt=0, lineID=677, koords=(0.392,99.066) <-> pt=1, lineID=677, koords=(6.4296,97.1225)
pt=0, lineID=633, koords=(0.691,96.594) <-> pt=1, lineID=633, koords=(4.0893,96.611) & pt=0, lineID=308, koords=(0.119,95.031) <-> pt=1, lineID=308, koords=(2.628,90.2407)
pt=0, lineID=283, koords=(0.772,4.216) <-> pt=1, lineID=283, koords=(0.995,8.2031) & pt=0, lineID=267, koords=(0.278,7.828) <-> pt=1, lineID=267, koords=(5.8315,12.1408)
pt=0, lineID=402, koords=(0.799,13.593) <-> pt=1, lineID=402, koords=(8.8636,21.996) & pt=0, lineID=366, koords=(0.378,31.382) <-> pt=1, lineID=366, koords=(4.981,34.374)
pt=0, lineID=402, koords=(0.799,13.593) <-> pt=1, lineID=402, koords=(8.8636,21.996) & pt=0, lineID=267, koords=(0.278,7.828) <-> pt=1, lineID=267, koords=(5.8315,12.1408)
pt=0, lineID=634, koords=(0.918,99.504) <-> pt=1, lineID=634, koords=(2.8322,93.1588) & pt=0, lineID=677, koords=(0.392,99.066) <-> pt=1, lineID=677, koords=(6.4296,97.1225)
pt=0, lineID=775, koords=(0.968,44.242) <-> pt=1, lineID=775, koords=(1.6186,40.9529) & pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794)
pt=0, lineID=775, koords=(0.968,44.242) <-> pt=1, lineID=775, koords=(1.6186,40.9529) & pt=0, lineID=366, koords=(0.378,31.382) <-> pt=1, lineID=366, koords=(4.981,34.374)
pt=0, lineID=929, koords=(1.071,2.624) <-> pt=1, lineID=929, koords=(4.1064,9.4283) & pt=0, lineID=267, koords=(0.278,7.828) <-> pt=1, lineID=267, koords=(5.8315,12.1408)
pt=0, lineID=720, koords=(1.1,89.671) <-> pt=1, lineID=720, koords=(4.3714,82.5365) & pt=0, lineID=308, koords=(0.119,95.031) <-> pt=1, lineID=308, koords=(2.628,90.2407)
pt=0, lineID=720, koords=(1.1,89.671) <-> pt=1, lineID=720, koords=(4.3714,82.5365) & pt=0, lineID=510, koords=(0.545,88.407) <-> pt=1, lineID=510, koords=(8.4786,88.539)
pt=0, lineID=634, koords=(0.918,99.504) <-> pt=1, lineID=634, koords=(2.8322,93.1588) & pt=0, lineID=633, koords=(0.691,96.594) <-> pt=1, lineID=633, koords=(4.0893,96.611)
pt=0, lineID=344, koords=(1.202,31.36) <-> pt=1, lineID=344, koords=(10.3069,28.6424) & pt=0, lineID=366, koords=(0.378,31.382) <-> pt=1, lineID=366, koords=(4.981,34.374)
pt=0, lineID=344, koords=(1.202,31.36) <-> pt=1, lineID=344, koords=(10.3069,28.6424) & pt=0, lineID=402, koords=(0.799,13.593) <-> pt=1, lineID=402, koords=(8.8636,21.996)
pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632) & pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794)
pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632) & pt=0, lineID=775, koords=(0.968,44.242) <-> pt=1, lineID=775, koords=(1.6186,40.9529)
pt=0, lineID=61, koords=(1.307,39.116) <-> pt=1, lineID=61, koords=(9.8331,35.355) & pt=0, lineID=775, koords=(0.968,44.242) <-> pt=1, lineID=775, koords=(1.6186,40.9529)
pt=0, lineID=61, koords=(1.307,39.116) <-> pt=1, lineID=61, koords=(9.8331,35.355) & pt=0, lineID=366, koords=(0.378,31.382) <-> pt=1, lineID=366, koords=(4.981,34.374)
pt=0, lineID=496, koords=(1.504,8.091) <-> pt=1, lineID=496, koords=(4.983,10.5488) & pt=0, lineID=267, koords=(0.278,7.828) <-> pt=1, lineID=267, koords=(5.8315,12.1408)
pt=0, lineID=496, koords=(1.504,8.091) <-> pt=1, lineID=496, koords=(4.983,10.5488) & pt=0, lineID=929, koords=(1.071,2.624) <-> pt=1, lineID=929, koords=(4.1064,9.4283)
pt=0, lineID=822, koords=(1.511,17.457) <-> pt=1, lineID=822, koords=(8.7173,20.3512) & pt=0, lineID=344, koords=(1.202,31.36) <-> pt=1, lineID=344, koords=(10.3069,28.6424)
pt=0, lineID=822, koords=(1.511,17.457) <-> pt=1, lineID=822, koords=(8.7173,20.3512) & pt=0, lineID=402, koords=(0.799,13.593) <-> pt=1, lineID=402, koords=(8.8636,21.996)
pt=0, lineID=109, koords=(1.535,28.996) <-> pt=1, lineID=109, koords=(3.7751,33.261) & pt=0, lineID=344, koords=(1.202,31.36) <-> pt=1, lineID=344, koords=(10.3069,28.6424)
pt=0, lineID=109, koords=(1.535,28.996) <-> pt=1, lineID=109, koords=(3.7751,33.261) & pt=0, lineID=822, koords=(1.511,17.457) <-> pt=1, lineID=822, koords=(8.7173,20.3512)
pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632) & pt=0, lineID=61, koords=(1.307,39.116) <-> pt=1, lineID=61, koords=(9.8331,35.355)
pt=0, lineID=510, koords=(0.545,88.407) <-> pt=1, lineID=510, koords=(8.4786,88.539) & pt=0, lineID=308, koords=(0.119,95.031) <-> pt=1, lineID=308, koords=(2.628,90.2407)
pt=0, lineID=720, koords=(1.1,89.671) <-> pt=1, lineID=720, koords=(4.3714,82.5365) & pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794)
pt=0, lineID=644, koords=(1.6914,53.4209) <-> pt=1, lineID=644, koords=(1.708,59.355) & pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794)
pt=0, lineID=644, koords=(1.6914,53.4209) <-> pt=1, lineID=644, koords=(1.708,59.355) & pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632)
pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794) & pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632)
pt=0, lineID=895, koords=(1.756,4.18) <-> pt=1, lineID=895, koords=(4.7105,6.1039) & pt=0, lineID=496, koords=(1.504,8.091) <-> pt=1, lineID=496, koords=(4.983,10.5488)
pt=0, lineID=895, koords=(1.756,4.18) <-> pt=1, lineID=895, koords=(4.7105,6.1039) & pt=0, lineID=929, koords=(1.071,2.624) <-> pt=1, lineID=929, koords=(4.1064,9.4283)
pt=0, lineID=929, koords=(1.071,2.624) <-> pt=1, lineID=929, koords=(4.1064,9.4283) & pt=0, lineID=496, koords=(1.504,8.091) <-> pt=1, lineID=496, koords=(4.983,10.5488)
pt=0, lineID=603, koords=(1.775,82.574) <-> pt=1, lineID=603, koords=(3.5708,75.3482) & pt=0, lineID=720, koords=(1.1,89.671) <-> pt=1, lineID=720, koords=(4.3714,82.5365)
pt=0, lineID=603, koords=(1.775,82.574) <-> pt=1, lineID=603, koords=(3.5708,75.3482) & pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794)
pt=0, lineID=633, koords=(0.691,96.594) <-> pt=1, lineID=633, koords=(4.0893,96.611) & pt=0, lineID=677, koords=(0.392,99.066) <-> pt=1, lineID=677, koords=(6.4296,97.1225)
pt=0, lineID=634, koords=(0.918,99.504) <-> pt=1, lineID=634, koords=(2.8322,93.1588) & pt=0, lineID=308, koords=(0.119,95.031) <-> pt=1, lineID=308, koords=(2.628,90.2407)
pt=0, lineID=904, koords=(1.859,13.676) <-> pt=1, lineID=904, koords=(8.2293,17.2136) & pt=0, lineID=402, koords=(0.799,13.593) <-> pt=1, lineID=402, koords=(8.8636,21.996)
pt=0, lineID=904, koords=(1.859,13.676) <-> pt=1, lineID=904, koords=(8.2293,17.2136) & pt=0, lineID=267, koords=(0.278,7.828) <-> pt=1, lineID=267, koords=(5.8315,12.1408)
pt=0, lineID=127, koords=(1.918,21.724) <-> pt=1, lineID=127, koords=(3.7868,23.2964) & pt=0, lineID=109, koords=(1.535,28.996) <-> pt=1, lineID=109, koords=(3.7751,33.261)
pt=0, lineID=127, koords=(1.918,21.724) <-> pt=1, lineID=127, koords=(3.7868,23.2964) & pt=0, lineID=822, koords=(1.511,17.457) <-> pt=1, lineID=822, koords=(8.7173,20.3512)
pt=0, lineID=68, koords=(1.946,92.962) <-> pt=1, lineID=68, koords=(2.3822,84.0454) & pt=0, lineID=634, koords=(0.918,99.504) <-> pt=1, lineID=634, koords=(2.8322,93.1588)
pt=0, lineID=68, koords=(1.946,92.962) <-> pt=1, lineID=68, koords=(2.3822,84.0454) & pt=0, lineID=308, koords=(0.119,95.031) <-> pt=1, lineID=308, koords=(2.628,90.2407)
pt=0, lineID=8, koords=(1.984,37.838) <-> pt=1, lineID=8, koords=(8.5744,40.8634) & pt=0, lineID=61, koords=(1.307,39.116) <-> pt=1, lineID=61, koords=(9.8331,35.355)
pt=0, lineID=8, koords=(1.984,37.838) <-> pt=1, lineID=8, koords=(8.5744,40.8634) & pt=0, lineID=366, koords=(0.378,31.382) <-> pt=1, lineID=366, koords=(4.981,34.374)
pt=0, lineID=986, koords=(2.003,88.347) <-> pt=1, lineID=986, koords=(11.2453,82.0636) & pt=0, lineID=510, koords=(0.545,88.407) <-> pt=1, lineID=510, koords=(8.4786,88.539)
pt=0, lineID=986, koords=(2.003,88.347) <-> pt=1, lineID=986, koords=(11.2453,82.0636) & pt=0, lineID=720, koords=(1.1,89.671) <-> pt=1, lineID=720, koords=(4.3714,82.5365)
pt=0, lineID=308, koords=(0.119,95.031) <-> pt=1, lineID=308, koords=(2.628,90.2407) & pt=0, lineID=634, koords=(0.918,99.504) <-> pt=1, lineID=634, koords=(2.8322,93.1588)
pt=0, lineID=68, koords=(1.946,92.962) <-> pt=1, lineID=68, koords=(2.3822,84.0454) & pt=0, lineID=510, koords=(0.545,88.407) <-> pt=1, lineID=510, koords=(8.4786,88.539)
pt=0, lineID=449, koords=(2.148,64.775) <-> pt=1, lineID=449, koords=(9.5068,61.0464) & pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794)
pt=0, lineID=449, koords=(2.148,64.775) <-> pt=1, lineID=449, koords=(9.5068,61.0464) & pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632)
pt=0, lineID=510, koords=(0.545,88.407) <-> pt=1, lineID=510, koords=(8.4786,88.539) & pt=0, lineID=308, koords=(0.119,95.031) <-> pt=1, lineID=308, koords=(2.628,90.2407)
pt=0, lineID=68, koords=(1.946,92.962) <-> pt=1, lineID=68, koords=(2.3822,84.0454) & pt=0, lineID=986, koords=(2.003,88.347) <-> pt=1, lineID=986, koords=(11.2453,82.0636)
pt=0, lineID=986, koords=(2.003,88.347) <-> pt=1, lineID=986, koords=(11.2453,82.0636) & pt=0, lineID=510, koords=(0.545,88.407) <-> pt=1, lineID=510, koords=(8.4786,88.539)
pt=0, lineID=68, koords=(1.946,92.962) <-> pt=1, lineID=68, koords=(2.3822,84.0454) & pt=0, lineID=720, koords=(1.1,89.671) <-> pt=1, lineID=720, koords=(4.3714,82.5365)
pt=0, lineID=720, koords=(1.1,89.671) <-> pt=1, lineID=720, koords=(4.3714,82.5365) & pt=0, lineID=986, koords=(2.003,88.347) <-> pt=1, lineID=986, koords=(11.2453,82.0636)
pt=0, lineID=68, koords=(1.946,92.962) <-> pt=1, lineID=68, koords=(2.3822,84.0454) & pt=0, lineID=603, koords=(1.775,82.574) <-> pt=1, lineID=603, koords=(3.5708,75.3482)
pt=0, lineID=662, koords=(2.234,56.7) <-> pt=1, lineID=662, koords=(9.9559,60.7845) & pt=0, lineID=449, koords=(2.148,64.775) <-> pt=1, lineID=449, koords=(9.5068,61.0464)
pt=0, lineID=662, koords=(2.234,56.7) <-> pt=1, lineID=662, koords=(9.9559,60.7845) & pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632)
pt=0, lineID=798, koords=(2.295,25.856) <-> pt=1, lineID=798, koords=(10.0442,31.7832) & pt=0, lineID=109, koords=(1.535,28.996) <-> pt=1, lineID=109, koords=(3.7751,33.261)
pt=0, lineID=798, koords=(2.295,25.856) <-> pt=1, lineID=798, koords=(10.0442,31.7832) & pt=0, lineID=127, koords=(1.918,21.724) <-> pt=1, lineID=127, koords=(3.7868,23.2964)
pt=0, lineID=273, koords=(2.308,31.554) <-> pt=1, lineID=273, koords=(9.1156,32.3412) & pt=0, lineID=366, koords=(0.378,31.382) <-> pt=1, lineID=366, koords=(4.981,34.374)
pt=0, lineID=273, koords=(2.308,31.554) <-> pt=1, lineID=273, koords=(9.1156,32.3412) & pt=0, lineID=344, koords=(1.202,31.36) <-> pt=1, lineID=344, koords=(10.3069,28.6424)
pt=0, lineID=52, koords=(2.333,0.918) <-> pt=1, lineID=52, koords=(11.6142,10.7337) & pt=0, lineID=895, koords=(1.756,4.18) <-> pt=1, lineID=895, koords=(4.7105,6.1039)
pt=0, lineID=720, koords=(1.1,89.671) <-> pt=1, lineID=720, koords=(4.3714,82.5365) & pt=0, lineID=603, koords=(1.775,82.574) <-> pt=1, lineID=603, koords=(3.5708,75.3482)
pt=0, lineID=567, koords=(2.491,61.085) <-> pt=1, lineID=567, koords=(9.7267,55.904) & pt=0, lineID=449, koords=(2.148,64.775) <-> pt=1, lineID=449, koords=(9.5068,61.0464)
pt=0, lineID=567, koords=(2.491,61.085) <-> pt=1, lineID=567, koords=(9.7267,55.904) & pt=0, lineID=662, koords=(2.234,56.7) <-> pt=1, lineID=662, koords=(9.9559,60.7845)
pt=0, lineID=109, koords=(1.535,28.996) <-> pt=1, lineID=109, koords=(3.7751,33.261) & pt=0, lineID=273, koords=(2.308,31.554) <-> pt=1, lineID=273, koords=(9.1156,32.3412)
pt=0, lineID=344, koords=(1.202,31.36) <-> pt=1, lineID=344, koords=(10.3069,28.6424) & pt=0, lineID=798, koords=(2.295,25.856) <-> pt=1, lineID=798, koords=(10.0442,31.7832)
pt=0, lineID=634, koords=(0.918,99.504) <-> pt=1, lineID=634, koords=(2.8322,93.1588) & pt=0, lineID=510, koords=(0.545,88.407) <-> pt=1, lineID=510, koords=(8.4786,88.539)
